,Team1,Team2,Toss Winner,Toss Decision,Winner,Predicted Winner
0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Mumbai Indians
1,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Chennai Super Kings
2,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad
3,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,Punjab Kings
4,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders
5,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Royal Challengers Bangalore
6,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals
7,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Chennai Super Kings
8,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,Sunrisers Hyderabad
9,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Royal Challengers Bangalore
10,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,Delhi Capitals
11,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings
12,Delhi Capitals,Mumbai Indians,,,,
13,Punjab Kings,Sunrisers Hyderabad,,,,
14,Kolkata Knight Riders,Chennai Super Kings,,,,
15,Royal Challengers Bangalore,Rajasthan Royals,,,,
16,Punjab Kings,Mumbai Indians,,,,
17,Rajasthan Royals,Kolkata Knight Riders,,,,
18,Chennai Super Kings,Royal Challengers Bangalore,,,,
19,Sunrisers Hyderabad,Delhi Capitals,,,,
20,Punjab Kings,Kolkata Knight Riders,,,,
21,Delhi Capitals,Royal Challengers Bangalore,,,,
22,Chennai Super Kings,Sunrisers Hyderabad,,,,
23,Mumbai Indians,Rajasthan Royals,,,,
24,Delhi Capitals,Kolkata Knight Riders,,,,
25,Punjab Kings,Royal Challengers Bangalore,,,,
26,Mumbai Indians,Chennai Super Kings,,,,
27,Rajasthan Royals,Sunrisers Hyderabad,,,,
28,Punjab Kings,Delhi Capitals,,,,
29,Kolkata Knight Riders,Royal Challengers Bangalore,,,,
30,Sunrisers Hyderabad,Mumbai Indians,,,,
31,Rajasthan Royals,Chennai Super Kings,,,,
32,Royal Challengers Bangalore,Punjab Kings,,,,
33,Sunrisers Hyderabad,Chennai Super Kings,,,,
34,Kolkata Knight Riders,Delhi Capitals,,,,
35,Rajasthan Royals,Mumbai Indians,,,,
36,Chennai Super Kings,Punjab Kings,,,,
37,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,
38,Mumbai Indians,Kolkata Knight Riders,,,,
39,Delhi Capitals,Rajasthan Royals,,,,
40,Chennai Super Kings,Kolkata Knight Riders,,,,
41,Mumbai Indians,Punjab Kings,,,,
42,Sunrisers Hyderabad,Rajasthan Royals,,,,
43,Royal Challengers Bangalore,Delhi Capitals,,,,
44,Kolkata Knight Riders,Punjab Kings,,,,
45,Rajasthan Royals,Royal Challengers Bangalore,,,,
46,Chennai Super Kings,Mumbai Indians,,,,
47,Delhi Capitals,Sunrisers Hyderabad,,,,
48,Kolkata Knight Riders,Rajasthan Royals,,,,
49,Sunrisers Hyderabad,Punjab Kings,,,,
50,Royal Challengers Bangalore,Mumbai Indians,,,,
51,Kolkata Knight Riders,Sunrisers Hyderabad,,,,
52,Delhi Capitals,Chennai Super Kings,,,,
53,Punjab Kings,Rajasthan Royals,,,,
54,Mumbai Indians,Delhi Capitals,,,,
55,Royal Challengers Bangalore,Chennai Super Kings,,,,
56,To be announced,To be announced,Qualifier 1,,,
57,To be announced,To be announced,Eliminator,,,
58,To be announced,To be announced,,,,
59,To be announced,To be announced,,,,
